"设计,人机交互,交互设计,用户体验设计",哪十个专业术语是交互设计初学者最需要了解的？,
"建筑,建筑设计,中国,设计规范",中国的建筑设计规范是否是世界上规定的最死的？如果是，为什么？如果不是，还有哪国的更繁琐？,
"建筑,建筑设计,建筑节能",远大的装配式和万科的建筑工业化区别是什么？,远大可建可以节约80%的混凝土，还节约了20%的钢筋，还保证了抗震要求。万科的建筑工业化和装配式住宅还没有远大发展的快吗？
"电影,投资,导演",中国影视圈有哪些导演或者编剧故意跟投资方对着干的经典案例？,昨天看了姜文的《太阳照常升起》，觉得拍得简直不可能有什么票房，这类的电影投资是亏本的，那么有没有导演或者编剧或者其他参与者故意跟投资方对着干以达到什么目的的例子呢？
"设计,Airbnb（爱彼迎）",Airbnb Design Tools team 是如何工作的？,
"建筑,建筑学,建筑设计,空间布置",如何营造好的建筑入口空间？,如何理解建筑入口意象？如何营造好的建筑入口空间（内部&外部）？公共建筑的门厅布置需要考量哪些因素？
"中国电影,金马奖,小成本电影,FIRST青年电影展,八月（电影）",如何评价张大磊导演的电影作品《八月》？,
"电影,第 86 届奥斯卡金像奖",最佳外语片为什么是奥斯卡最难预测的奖项之一？,
"设计,数据,建筑,谷歌 (Google)",从google x分出来的flux项目到底会对建筑行业有怎样的颠覆？,2013年底，有一则新闻是关于google要颠覆建筑行业，今年终于零星的看到一些信息。这家从google x孵化出来的公司叫做flux，用数据来指导城市和建筑的建设。欢迎各位讨论这个问题。 
"英语,作家,文学,外国文学,当代作家,英文网站,西方文学",现今英文世界著名的作家的 blog 有哪些推荐？,
"电影,编剧,纪录片导演,纪录片制作",如果把纪录影片视为一种相对更即兴的电影创作，编剧如何参与创作过程？可能在多大程度上参与？,纪录片工作者，工作三年，每年都会参加编剧训练的课程，因为越来越体会到编剧功力在纪录片导演功课中的重要性。纪录片故事化、剧情化甚至剧情的类型化是最近一些年出现的较为重要的行业变化，希望能和各位一起思考和探讨。
"电影,科幻,宇宙,银河护卫队",《银河护卫队》的宇宙收藏家到底收藏了哪些宝贝？,看到很多都不懂是啥
"电影,韩寒,一座城池（电影）",在《一座城池》的宣发工作中，有什么值得分享的故事？,
"电影,纪录片,第 86 届奥斯卡金像奖,美国电影艺术和科学学院（AMPAS）",学院对于最佳纪录片的评判标准是什么？,《和声女神》 20 Feet from Stardom 获得第 86 届奥斯卡最佳纪录片。 提名名单：《杀戮演绎》、《小可爱与拳击手》、《肮脏的战争》、《埃及广场》。 学院对于最佳纪录片的评判标准有哪几个方面？
"设计,手机,魅族科技,Android 手机,魅族 MX2",如何看待魅族 MX2 Home 键设计交互的改变？是否提升了使用体验？,从机械按键改成电容触控式；连续两次触摸可以从睡眠中唤醒；中间一圈是萤光材料在黑暗中可见；集成有节奏的呼吸提示灯作为新事件提示； 长按可关闭屏幕。屏幕点亮状态下，双击是展开多任务。
"电影,记者,欧洲,戛纳电影节,电影公司",做什么工作才能被派往每年的欧洲三大电影节？,
"音乐,摇滚乐,Radiohead,英伦摇滚（Britpop）,OK Computer",对于喜欢 OK Computer 的人来说，这张专辑的缺点在哪里？,补充问题：你最不喜欢的曲目是什么？ 俺最不喜欢的是Electioneering，觉得它最多起到支撑专辑结构的作用。 另外，俺怎么觉得Fitter Happier和音速青年的Daydream Nation中的Providence很像？
"音乐,古典音乐,购物,音乐网站",哪里可以购买到高质量正版的数字版本的古典音乐？,建议可改为 哪里可以“购买数字版本的古典音乐”
"古典音乐,音乐教育,作曲家,和声学,配器法",研读作曲家(未必是专业音乐教师)的音乐著作与研读权威教材相比有何不同之处？有什么需要注意的地方？,一般来说，现在学习和声、配器...等，所用的教材一般是比较权威的、有丰富教学经验的音乐教育家所编著的（比如著名的斯波索宾和声学），而作为学生，在长期的学习生活中，也大概知道学习这些权威教材的方法...但是，有些好书是由著名作曲家所编著的（比如勋伯格的和声学与作曲基本原理，柏辽兹与Rimsky-Korsakov的配器法等，其他著作也望补充，另Samuel Adler的配器法理论上也属于此列，但这本书似乎被视为经典教材，因此不作讨…
"音乐,宋祖英,席琳·迪翁（Celine Dion）",如何理解关于 Celine Dion 在春晚与宋祖英合唱《茉莉花》的艺术内涵？,
"艺术,当代艺术",如何评价Matthew Barney的《悬丝（Cremaster）》系列作品？,
"音乐,音乐网站,音乐制作",有没有可以清除歌曲中的人的声音而留下背景音乐的软件或网站？,
"舞蹈,EXO,韩国舞蹈,韩国流行音乐团体（GROUP）",EXO出道至今所有舞蹈的解析？,一个舞蹈爱好者想知道关于EXO所有舞蹈编排的所有细节，走位动作概念啥的通通都好～
"iTunes,音乐,百代唱片（EMI Music）",为什么 AC/DC 之前多次强调一再拒绝专辑上架 iTunes，现在又改变主意？,"AC/DC's iTunes boycott is on Highway to Hell | Internet & Media - CNET News | , (October 14, 2008) AC/DC Joins iTunes, as Spotify Emerges as Music's New Disrupter - NYT | , (November 19, 2012)如果是为了维护一个良好的「专辑」体验。那为什么他们又一直允许电台播放？"
"音乐,朋克（Punk Rock）,绿日（Green Day）,音乐评论",如何评价 Green Day 的新专辑《¡Uno!》？,虾米链接： 
"摇滚乐,乐队,趣闻",雷蒙斯乐队（Ramones）有哪些趣闻？,"如果我没记错的话，,这首歌好像说的是 dee dee 的事儿。这个事儿还跟男妓有关系。所以，我不敢想象的是， dee dee 以前是做过男妓的。求证实。 , 这首歌是根据其作者 Joey Ramone 所述，他是在他的前女友被 Johnny 偷走后，然后又击打 Joey 后所写，Joey还因此头部积血需住院开刀手术。尽管乐队在此事件后又走到了一起，但是他们两个一直在冷战并从此再也没有说过话。"
"音乐,音乐人,MG101,品牌与准备",什么是音乐人的品牌？音乐人是否应该思考构建自己的品牌？如何构建？,
"Microsoft Surface,作曲家,作曲",使用了staffpad的作曲系朋友们，感受如何？,
"音乐,爵士乐（Jazz）,百度百科,布鲁斯（Blues）",百度百科「蓝调音乐」词条中称「蓝调音乐（Blues）是福音歌曲（Gospel）的老祖宗」，这个说法是否正确？,《新格罗夫爵士乐词典》在布鲁斯起源中提到：“美国黑人自1860年代开始用布鲁斯这个词描述一种情绪状态，但直到20世纪，也没有发现这个词有表达歌曲形式的用法，只是当黑人劳动号子和情歌融为一体时，才出现了布鲁斯一词。黑人劳动号子流传于南方的农工当中……，种植园系统衰退之后，在很大程度上，群体劳动歌曲被劳动号子取代”； 在福音音乐的历史中提到：“在19世纪末，以美国黑人的圣灵歌曲（spirituals）和种植园曲调以及…
"字体,设计,书籍",80年代到90年代初期，中国大陆的书籍主要使用哪些字体？,
"电子书,图书编辑,出版",电子书出版的过程中，图书编辑的工作和传统纸质书出版的过程中有哪些不同？电子书的发展会永久地改变一部分出版工作的流程和任务么？,从这几年的发展上看，电子书如今已经不能被看作一个不专业的出版玩具，而是一种具有自己独特个性的发布方式了。和传统纸质书相比，电子书作为一种出版媒介，出现了一些和传统书籍非常不同的特性： 1. 从形式上看，电子书简化了排版的作用。通过已有的模板设计（也有阅读器自身的限制因素），非专业的排版人员也可以作出外观非常不错的电子书成品。而且通过上传到公开的发布平台（Apple Store，Amazon，Google Books），作者们几…
"书籍推荐,电影,小说,文化,台湾,文学,话剧,散文",关于台湾眷村文化的小说、散文和电影有哪些推荐？,目前知道比较好的只有朱天心的《想我眷村的兄弟们》和话剧《宝岛一村》，还想获取更多好的资源，谢谢哟~~
"书籍推荐,阅读,政治,书籍,书籍评价",叙述韩国民主化转型最优秀的书、纪录片、华人学者有哪些推荐？,
"电影,阅读,杂志,调查类问题,电影推荐",在中英文世界里，哪些杂志、报刊、媒体的影评专栏值得推荐？,
"阅读,日本,电子书,电子书阅读器（硬件）,电子阅读,商业",中国电子书业者应该从日本电子书业者那里学习什么？,
"电子书,数学,大学图书馆",为什么网上流传的许多扫描版数学书都来自于复旦大学图书馆？是谁扫描的？,当然其他大学图书馆的书也有，但是源自于复旦大学的看起来相对显眼一些。
"城市,美国,文学,小说推荐,波士顿",以波士顿为背景的小说有哪些推荐？,谁能给我推荐一两本？
"书籍推荐,音乐,乐理,英文书籍推荐",有哪些权威的英文版音乐基础理论书籍推荐？,
"媒体,杂志",联办是怎么决定做《红秀》的？,联办=财讯传媒 红秀=Grazia 
"iPad 应用,iOS 应用,书籍,扫描",iPad 上有哪些不错的 Scanner 软件能很好支持书籍扫描？,最好能支持方便的大量连续扫描，图片压缩，还原成 iPad 上阅读的电子书，可以用 GoodReader 等看书软件打开。
"苹果产品,苹果公司 (Apple Inc.),职业规划,体验,实习",在苹果公司实习是一种什么样的经历？有何收获？,
"心理学,物理学,声音,医学",白噪声可以提高注意力吗？,"在Google Chrome的网上应用商店看见一款应用 利用白噪声提高注意力。 试了一下，貌似有一点点用。 请问白噪声可以提高注意力吗? 原理是什么呢？ 连接地址： , "
"北京,生活,职业发展,金融",在伦敦和纽约做 PE、HF 和 Commodity 几年之后回国的工作生活如何？,想听下至少5年经验以上的buyside回国能做什么，氛围如何，擅长的产品还剩多少，待遇会牺牲多大。欢迎讲讲身边的前辈和老板～ 不包括去和来自香港，IBD和Sales & Trading也欢迎分享下～
"书籍推荐,用户体验,产品经理,心理学,用户心理学,用户研究",作为一个产品从业人员，有哪些心理学的书必不可少？,或者从产品设计和营销运营两方展开 
"音乐,微音程音乐",如何评价微音程音乐（Microtonal music）？,
"音乐,漫画,中国动漫,动漫,胡彦斌",动画《我为歌狂》中那些演唱者、乐队后来有什么消息？,偶然的翻出这部动漫看了下，热泪盈眶啊……90后应该都有点记忆吧。 《我为歌狂》里的演唱者目前好像能见到的只有胡彦斌啊，灵感乐队和五彩精灵呢？ 网上搜了一下，基本找不到信息？是解散了么？ 有爱好者能提供一下乐队照片一类的吗？圆我童年梦想。 3ks！
"法律,婴儿,疾病预防,医学,疫苗",为什么会发生小睿睿这样的悲剧？中国的疫苗现状究竟如何？,"新闻链接： , 回复区4楼还有讲到一些同样由疫苗引发的事件。 32楼，睿睿已经走了。愿他在另一个世界，幸福快乐。 为人父母，都有什么权利和选择？应该注意的事情？ 谢谢大家。"
"心理学,大脑,神经科学,脑科学,进化生物学",从心理与脑的关系来看，大脑功能偏侧化有什么意义？,我在尹文刚的神经心理学的教材上看到的一道思考题。那个章节前面大致介绍了左右脑解剖结构的差别、与结构差别对应的功能偏侧化（左脑继时性活动为主，右脑偏重同时性活动）、两半球协同和对立统一，也讲了偏侧化的种系和个体演进过程。 从种系上看，只有人类才有明显的两半球特意化现象，动物不具备心理和认知功能的偏侧化。 从个体演化历程上看，人的半球偏侧化是一个随个体成长发展的过程。比如脑损伤后的失语，在4岁前发生恢…
"科研,医疗,医生,医学,移动医疗",医生是如何做科研的？,能否通过一个具体的案例简单说明医生做科研的具体过程。 如何立项，如何获取数据，如何应用临床，如何获取患者，如何获得反馈等等具体流程，以及目前这个流程中存在的问题有哪些？ 附加：CRO在这个过程中能起到的作用有哪些？
"基因,生物学,RNA,分子生物学",大家怎么看利用 miRNA 靶基因预测软件进行靶基因预测？它的准确程度怎么样？预测的靶基因是 miRNA 真正靶基因的可能性有多大？,最近用RNAhybrid预测miRNA的靶基因会出现很多基因（还有同一个基因甚至有几十个位点）
"癌症,乳腺癌",《柳叶刀》最新一期报出两类非常便宜的药物对乳腺癌很有效果，有谁能来简单剖析一下吗？,"两篇相关报道都于7月23日发表，分别关于 Bisphosphonates 和 aromatase inhibitors (AIs) 两种药物的，说两种药物一起使用将会减少副作用并增加疗效。 有谁能稍微剖析一下吗？ , "
"美国,牙医,留学美国,医疗保险",留学生在美国如何使用医疗保险？,作为F-1学生在美国要呆4年，因为规定F1的在校生一定要有入保险，所以我一直有入保险，但是现在牙齿有坏的需要想看牙医， 我的保险单中对看牙是这样的：“ 牙科治疗费用：1) 由医生（除牙医以外的内科或外科医生）执行的牙科治疗费用；以及2) 因完好的天然牙齿受伤而必需接受的牙科治疗。最高赔付金额为 $500。由牙科医师提供的常规牙科护理以及牙龈的治疗不包括在赔付范围内；” 所以说我是不是直接去补牙而不需要花钱？还是说跟…
"科研,生物学,医学,临床医学,医学专业",临床医学专业做的科研和生物专业做的科研有区别吗？,
"生物学,免疫学,分子生物学,诊断试剂,生物制药",2014 年国内外有哪些生物公司在迅速崛起？,如题。先知道2014年取得较大进步的生物及制药行业的公司（分子、蛋白、药物、细胞、免疫、诊断……方向）。不包含大保健品啊！
"美国,装修,家具,家居,家居设计",美国有哪些有名的家具品牌？,在美国刚刚买的房子，下个月close。准备装修，看家具看的好累，因为款式都不是太满意。就想选一些质量好些，款式好看的家具，麻烦推荐一些好的牌子，谢谢啦。
"生物学,生物信息学,分子生物学,细胞生物学",细胞信号网络中的蛋白有没有是因为通过计算而预测到的？,比如因为已知的某条信号通路组成的网络通过计算发现无法完成相应工作，预测应该在某个位置存在一种蛋白起到某种作用。
"化学,生物学,计算生物学,生物化学,计算化学",欧洲有哪些顶尖的生物化学或计算生物学或计算化学的研究生院？,题主对欧洲充满好感，在不考虑语言的情况下，想在未来两年准备，希望知友能给个好一点的建议或意见，要是有在读或读过的，希望能给点儿经验...... 不胜感激...... 谢谢........
"健身,杂技,2013 年央视春晚",2013 春晚杂技《冰与火》对男女演员的哪些身体素质要求较高？,
"法律,律师,法官,法律专业,法律服务",法官、律师对icourt课程的评价？可视化是不是今后的趋势？,
"物理学,理论物理,天体物理学,粒子物理学",物理学各二级学科内鄙视链是怎样的？,曾经听过一次关于暗物质的“中关村科学家沙龙”，感觉其中不同方向的物理学家们在物理观念上存在挺大分歧。想知道物理学各二级学科内有没有鄙视链？ 例如《生活大爆炸》中谢耳朵搞理论物理的，看不起实验物理学家，真实科研中有这种情况么？ 物理学各二级学科（凝聚态、分子原子、高能、天体、生物物理等）是如何相互看待的
"产品经理,互联网产品,百度知道",百度知道怎样才能吸引用户活跃？,
"电影,调查类问题",近十年来 (2002 - 2012) 的华语电影中，在你看来是否有一部水平明显超出其它华语片的作品？,客观 或主观角度的选择，都可以。 如果有 或者没有，请不吝谈谈您的想法。 
"健身,CrossFit,力量举",2016年国内力量举&混合体能比赛安排？,今年9月在上海还会举办混合体能&硬拉挑战赛吗？此外还会有哪些力量举类比赛？因为目前人在海外，提前知道好做规划。谢谢！
"健身,运动,力量训练,力量举",使用 Jim Wendler 的 5/3/1 计划进行训练是怎样的体验？,这个计划是否有什么明显弊端？最近在看这本书，真的有书中说的那么好的效果吗？
"健身,深蹲,卧推,X 是种怎样的体验,力量举",做为力量举裁判是怎样的体验？,
"游泳,自由泳",蛙泳练到什么程度可以练习自由泳？,本人学习蛙泳后，想跟教练学习自由泳。可教练说我离学自由泳还远着呢。所以我想问问蛙泳练到什么程度才可以练习自由泳？我的教练当过两年的专业游泳教练比较厉害，而且是免费教学的。
"健康,健身,健康管理,关节炎,健身房",求教：带爸妈去健身房的指南？,如题 爸妈现在是45+的年纪，由于居住地雾霾严重，也不太赞成他们天天带着口罩锻炼。所以打算在家楼下的健身房给他们办卡。 锻炼频率：他们能保持每天的晚上去锻炼。由于我在外地，想要通过寒假这两个月带着爸妈科学地保持健康的身体状态。包括饮食和观念上的转变。所以我想自己在这有限的时间里面当爸妈的私教哈。有哪些有针对性的书籍或者app求推荐！ ps：妈妈有关节炎，虽然体重100以下，但是体脂偏高（腰腹尤其）。主要想问一…
"NBA,篮球",有关 Bill Simmons 有哪些趣事？,
"健身,肌肉,运动康复,CrossFit,体态校正",练习单杠上的垂挂动作时候 肩应该是有意识收紧还是完全放松？,"记得《囚徒健身》上说过 在做悬挂训练的时候，有意识的收紧肩部肌肉 可以稳定关节 防止受伤，但是如果做kipping PULL UP准确的说我是想练习,，如果有意识收紧肩部，动作就不流畅，感觉肘部，, 如果彻底放松，可以感受到振荡的力传导的感觉，但是怕因为相关肌肉群弱，体重大，造成肩部再次受伤。 我左边肩袖伤过 肩胛骨外旋过度 菱形肌弱 以前基本做引体基本就是手发力，感受不…"
"药物,抗生素,医学,辟谣",欧盟禁用头孢类药物了吗？,央视新闻20141225新闻报道欧盟自1997年起就禁止人类及牲畜应用头孢类药物。感觉不太可能啊...头孢类可是临床处方主力啊？而且罗氏芬什么的不也是欧洲生产的么？百度了一下似乎除了这条新闻外也没有其他信息源了，求知乎大神辟谣！ 附视频链接：
"心理学,生理学,认知心理学,身体协调",为什么左右手做同样或者相对相反的动作比单独做不同的动作更容易？,
"癌症,生物学,医学,淋巴结",近肿瘤的前哨淋巴结活检发现肿瘤细胞是否说明存在着远端转移的可能（无论这种可能是大还是小）？,如果淋巴结活检发现癌细胞，是不是意味着它已经可能在人体循环的任何地方存在？ 理论上讲是这样的吗？如果是的话那再做淋巴结清除手术还有什么意义？仅仅是为了了解它的侵袭程度？那样做是不是有点得不偿失？ 另外，请问淋巴结中的癌细胞会继续随淋巴液游荡，还是会留在淋巴结里生长？ 修订一下：我想问的是淋巴转移，其实更具体地说应该是问淋巴转移跟远端转移的关系或者说两者的关联度--比如说：如果出现淋巴转移，那是不是就…
"动物,生理学,人体,冷知识,医学",随着人体的衰老，毛发变白存在普遍顺序吗？,今天我看见一位老人，头发胡须都已全白，但眉毛还是黑的，便想到问这个问题。 （如果问题描述有问题，请帮忙更正，谢谢！）
"就业,医学,生物专业,博士后",如何看待近年美国生物医学领域博士后数量下降？,据《自然》报道，2010至2013年，美国从事生物医学研究的PhD人数在上升，而博士后数量开始下降。 
"基因,基因工程,生物学,生物技术,干细胞",怎麼評價最近發現的新製作幹細胞方法？,"新聞 , 文獻 , 从她的reference来看，好像前人没有做过这种实验，如果这个真的是这么简单的话，为什么会到现在才发现呢？ 我自己不是很懂，但聽起來覺得too good to be true了"
"生物学,微生物学",Pandoravirus 病毒为什么会有接近 93% 的基因不能追溯到其他生物中？,不是说大多数生物之间是有一定联系的吗？这么高的比例是否说明存在一个独立的生物域没有被发现？
"心理学,精神分析",现代/后现代精神分析的现况如何？当作为一种疗法时，(与其他疗法相比)它的优越性体现在哪里？,
"癌症,艾滋病,免疫学,医学,生物",2014年6月科学家报告生物免疫疗法治疗癌症获得重大突破的意义如何？,"相关的报道或摘要： , （第6个Slice) , , 我看了好几家美国新闻媒体报道说，生物免疫疗法治疗癌症获得重大突破，科学家对9个宫颈癌患者进行试验，其中2人治愈，1人39%肿瘤消失，另外6个人没有反应，科学家还在研究为什么另外6个人没有反应。 在CBS的电视采访报道说，其中一名治愈的患者在2011年宫颈癌全身扩散后，化疗和放疗均用不上了，然后经过生物免疫疗…"
"医学,医学生,住院医师规范化培训",如何评价2014年住院医师规培报告规定，医学博士毕业也需规培3年？,
"心理咨询,医学,自然灾害",国内外从什么时候开始有重大事故后的心理干预？,家属和当事人会接受陌生人的心理陪伴吗？
"日本,土木工程,留学,留学日本",日本土木工程专业从业人员处于一个什么样的位置？留学而言日本是否是一个好选择？,
"Path,Facebook,社交网络,Twitter,关注（Follow）机制",Path 的「反向关注」机制，是一种比 Twitter 的单向「关注」和 Facebook 的双向「互加好友」更强大、更有效的社交机制吗？,iPhone 上的应用 Path 采用的「Sharing」机制，是和 Twitter 类的「Follow」机制相反。「Follow」是接受者能主动获得发布者的内容，发布者无法区别对待；「Sharing」是发布者能主动选择接受者，但对方是否接受就不由自己控制了。这种单向好友机制，是比 Facebook 双向的「互加好友」机制更强大、更有效的社交机制吗？它是否更有助于病毒式传播？这种机制还可以在哪些应用上释放其威力？ 
"数学,科研,物理学,留学美国,石溪大学 (Stony Brook University)",纽约州立大学石溪分校现在的物理研究怎么样？,题主知道杨振宁教授曾长期执教于Stony Brook 。可是看现在的Stony Brook的综合排名不是很靠前物理排名也不是很靠前（除了核物理）。题主想了解一下现在Stony Brook 的物理各个研究研究水平。希望知道的同学不吝赐教。谢谢！
"互联网,社交网络,产品经理,产品设计,用户体验设计",如何回答白鸦关于产品设计的三个问题（见问题补充）？,"1）测试你的尝试：用支付宝付打车费，靠谱吗？ 2）测试你对产品模式的基本判断：既然hao123如此赚钱，做一个淘宝商家导航有戏吗？做一个微信公众号导航游戏吗？ 3）测试你对产品未来的基本预测：微信群已经有了“不接收信息提醒”，是否应该再增加“在群里但不接收信息”的功能？ 白鸦已经给出他自己的答案（,)"
"语言学,留学日本,东京大学,京都大学",日本的语言学研究是一种怎样的存在？,各个大学（如东京大学、京都大学）主要属于什么流派，做什么工作，在国际上影响力如何？
"科研,化学,纳米,留学美国,读博",CSC公派，UC Reverside 殷亚东，UMich的N. A. Kotov和UIUC鲁毅课题组该选择哪个？,先介绍下本人的情况。本人专业分析化学，在上海的某985大学读博。我是12年入学的研究生，于13年转为博士，现年博士二年级。按照正常学制，将于2017年6月获得博士学位（硕博1+4，共计5年）。 因为我研一研二做实验还是比较勤奋的，所以现在已经达到了学校和老板要求的博士毕业要求。现有第一作者SCI论文三篇，总IF也已经达到了16+。另有二作SCI论文5篇，并参加美国的国际会议进行英文口头报告。无托福雅思等语言成绩。 现在想要申…
游戏,如何合理搭建游戏的数值系统？,主要指游戏机平台一类的大型游戏，非手机游戏。 比较平衡，比较能通过1P的升级，武器装备的提升，逐步的梯度。
"阅读,文学,西游记",《西游记》确实一直被低估了吗？《煮酒探西游》和《天庭内幕》所讲的内容是否有道理？,附上一个比较有意思的小视频，视频中的言论正是来源于这些书。 
"互联网,职业发展,互联网公司",怎样看待 @纯银V 说的「不要指望从大公司的产品岗位做起」？为什么会有这种观点？,"链接：, 第四点"
医学,摘除器官后体内空位需要填充物体吗？,比如一个肾病变切除了，要在部位填充一个跟肾长的一样的东西否？为什么？
"医学,外科学",断肢寄养一般如何选择寄养部位？,湘雅唐举玉主任将断肢寄养在左踝关节上方可能处于哪些角度考虑？
"心理学,心理治疗,精神分析,心理咨询",心理咨询的频率问题。维持一周一次，还是一周多次，在不同背景下如何设定比较好？,最近阅读精神分析的一些书作，传统的精神分析格外强调一周内的频率，甚至不能达到某个频率不能严格定义为精神分析的治疗。特别是国际精神分析学会的定义，不仅每周在四次以上，还设定了躺椅和自由联想中心等条件。 但是毕竟时代在变，《主体间性心理治疗》里又强调一种更弹性的设置，基于来访者与治疗师的“主体间性”。甚至有强调更多频率，减少每次咨询时间的趋势。 想起另一个煞不守规则的，Milton Erikson听说也在治疗设置上…
医学,如何从表征和结果上区分「疗效」和「安慰剂效应」？,
"心理学,抑郁症",是否有研究关注过博士生群体面临的心理问题，总体情况如何？,
"健身,生理学,肌肉,解剖学",在韦德训练系统里，「某些动作做较高次数注重练肌肉型态或线条」中「型态」或「线条」的本质是什么？,另外，此理论的依据是什么？
"药物,白血病,医学,化疗",化疗药物的剂量为什么是按照体表面积计算的？,很多药物按照体重计算，比如许多抗生素，这可以理解为体脂对药物分布的影响，不过很多化疗药物按照体表面积计算药物剂量（至少在治疗血液病时是这样的），请问这是个什么原理呢？
"健身,力量举",什么状况下需要使用绑膝？及绑膝的使用方法？,
"健身,健身教练,健身技术",请教有关NSCA-CPT考试的问题？,正在准备备考NSCA-CPT的认证考试，在复习的过成遇到了很多困惑和不解，希望考过NSCA-CPT的大咖们帮我更多的了解有关考试的东西，分享一下您复习的方法和考试的心得。还有就是您对NCSA-CPT的认知、理解和对它您的帮助。 我这这里问几个小问题您也顺便帮我解答一下。 1、自我感觉教材翻译的很烂，考试题会不会一样的烂？ 2、我是一个没有私教经验的考着，是不是考起来更困难？ 3、获得学分的方式和分值？获得学分的难以程度？ 4、…
"健身,NBA,体育,篮球,虎扑",如何看待虎扑体育推出的智慧运动场？,6月30日下午，贵人鸟在北京五棵松体育馆联手虎扑体育、动域资本拉开了战略合作发布会的帷幕。这次发布会也是虎扑体育第一次对外正式公布他们新项目——智慧运动场，智慧运动场是一套利用互联网科技、软硬件集成的体育场地升级解决方案，可以应用于篮球、足球、网球、羽毛球等场地。能让普通比赛也获得NBA、欧冠级别的直播和视频剪辑服务，能让普通体育爱好者也获得如球星般的专业集锦体验。通过摄像头对运动者的技术动作，跑位等…
"科技,光学,眼镜,Google Glass",Google Glass、Lumus 穿透式视频眼镜这类产品是如何解决焦距问题的？,lumus穿透式视频眼镜这类产品是如何解决焦距问题的？ 这是他描述的解决方案。 这是实际配搭效果，CES展会上的照片。 类似产品还有日本的一款产品。 日本产品： 
"心理学,心理咨询",在talkspace上接受心理咨询是怎样一种体验？,最近发现了一个新奇玩意，是一个英语线上心理咨询平台。 目前正在和朋友讨论这玩意是否可行有效。 官网：
"经济学,经济学常识",经济学中，有哪些解决冲突的机制？,"经济学研究""公地悲剧"",解决个体和群体之间的冲突；研究""外部性""，解决个体之间的冲突。 能否举些例子，经济学还在研究并试图解决哪些冲突？在现实中有哪些应用？ -------- "
"纪录片,政治,美国,文化,学术,社会学,美国人,国际政治,社会,美国文化,留学美国,讲座,纪录片推荐,BBC 纪录片",介绍美国 60 年代至今政治、社会文化思潮变化与走向的记录片与讲座 书籍有哪些推荐？,
"城市,美国,房价,二线城市,一线城市",美国一线城市与二线城市的商品房价格有多大差距？,美国一线城市普通商品住宅均价多少？二线城市呢？两者的相差比例为多少？相对于国内的一二线城市价格比例，就国内房价发展趋势是否有借鉴性？
"美食,北京美食,上海美食,吃货,酱料",吃货们谈谈你们老家都有什么好吃的酱？有图有做法更佳,类似甜面酱、豆瓣酱的
"电影,心理学,心理咨询,心理医生,心理咨询师",电影《素媛》中的心理咨询师在对素媛进行治疗时，用的是什么心理疗法？,看了素媛感触很深，特别想弄清楚里面的心理疗法，进一步进行了解，谢谢各位
"公司,健康,谷歌 (Google),生物学,科学",如何看待 Google 的生命健康新公司 Calico？Google 为何一直保持对生命科学领域的兴趣？,北京时间9月18日凌晨消息，谷歌周三宣布成立一家名为Calico的新公司，该公司将集中致力于从事健康相关工作，尤其是老龄化问题及相关疾病。 苹果公司董事长、前基因泰克CEO暨现任董事长亚瑟·莱文森(Arthur D. Levinson)将出任Calico CEO，他同时还将是该公司的创始投资者。 谷歌CEO拉里·佩奇(Larry Page)表示：“疾病和老龄化问题正对所有家庭造成影响，而我们在医疗保健和生物技术方面有一些长期的、类似于登月计划的想法。我…
"阅读,文学,中国文学,西方文学,简·爱（小说）",中外文学中，如《简爱》一样写出身悲苦、长相平庸、渴望爱情、力图摆脱自身困境的「平凡女」形象的经典作品有哪些？,
"心理学,心理,商业,商业分析,客户需求",从商业分析的视角，如何对来访者及潜在来访者的客户需求进行分析和定位？,声明：我也做心理咨询，之所以提这个问题，不是想指望心理咨询能挣大钱，我个人也认为这行挣不了大钱，只是借此机会看能够先从讨论用户需求的角度开始，也是希望看看从市场化/商业模式的观点，能否找出对行业发展、至少是对广大咨询师自身发展有益的实质性方案，不是局限于行业内部的很多观点；看到了太多对行业混乱的不满和抱怨，即便有解决方案也是基于国家政策这种遥不可及的依靠。 ----------------------------------------…
"火影忍者,评书,王玥波",如何评价王玥波的评书作品《火影豪侠图》？, 相比一年多前中断的土豆出品的火影评书，有哪些改变？文本层面上是否有所改善，表演有没有进步？（反正片头制作还是一如既往的糟烂）
"机器人,DJI 大疆创新,RoboMasters",大疆的RoboMasters机器人大赛的价值和认可度如何?,
"心理学,生物学,神经学,快感,医学",人为什么会痒？而且挠的时候为什么有快感？,什么机制呢。
"医疗,谷歌 (Google)",Google 为什么要任命 Art Levinson 来担任新公司 Calico 的 CEO 职务？,他在此领域有何过人之处吗？
"医学,流行病学,预防医学,公共卫生",流行病学在医学外的应用有哪些？,
"疾病,冯华君,FIT,应用程序（application program）",冯华君病逝，因为什么病？,不久前看了他的应用推荐，今天就去了，真是无常。
"癌症,药物,生物学,医学","业内人士请评价一下抗肺癌新药“凯美纳""（盐酸埃克替尼）的疗效？",新药盐酸埃克替尼（凯美纳）是以表皮生长因子受体激酶为靶标的新一代靶向抗癌药，完全由我国科学工作者和肿瘤临床专家自主原创，经历8年时间研制而成，其第一个适应症是晚期非小细胞肺癌。
"医药,药物,药学,医学,药物副作用",有哪些疗效极好风头一时无两，又因为随后临床的毒副作用迅速销声匿迹的药物？,对某一疾病疗效极好，但有严重副作用而取消使用的药物
